degree,lambda,mse
0,1e-09,0.4504932835520001
1,1e-09,0.3525141442571566
6,2.06913808111479e-09,0.3165448305964209
5,8.858667904100832e-09,0.31848922907820637
2,1e-09,0.33426800526325484
13,1e-09,0.3389258218398272
12,4.281332398719396e-09,0.2986235760598626
11,1.8329807108324374e-08,0.29951491467692853
6,8.858667904100832e-09,0.31654483620205204
7,2.06913808111479e-09,0.3154634700813753
19,2.06913808111479e-09,0.42900810267872475
18,8.858667904100832e-09,0.3298521167641545
3,1e-09,0.32621765096512295
0,4.281332398719396e-09,0.4504932835519998
4,1e-09,0.32178553504520596
1,4.281332398719396e-09,0.35251415799324937
7,8.858667904100832e-09,0.3154634756924278
12,1.8329807108324374e-08,0.29875102264994025
13,4.281332398719396e-09,0.3360706882360161
14,1e-09,0.3332641862034084
8,2.06913808111479e-09,0.3148635663267524
2,4.281332398719396e-09,0.33426802003550615
5,1e-09,0.31848921722378104
19,8.858667904100832e-09,0.47096498787521696
8,8.858667904100832e-09,0.31486042813518184
3,4.281332398719396e-09,0.32621766058453483
9,2.06913808111479e-09,0.30994977100441323
0,1.8329807108324374e-08,0.4504932835520001
13,1.8329807108324374e-08,0.33913924345801744
14,4.281332398719396e-09,0.3018871022899804
6,1e-09,0.3165448228423543
15,1e-09,0.32508822706479795
1,1.8329807108324374e-08,0.35251416123004903
4,4.281332398719396e-09,0.32178554511069746
9,8.858667904100832e-09,0.30994770311100944
2,1.8329807108324374e-08,0.3342680235164684
10,2.06913808111479e-09,0.30356543073332587
7,1e-09,0.31546346241735046
5,4.281332398719396e-09,0.3184892274537316
14,1.8329807108324374e-08,0.37930783471605806
3,1.8329807108324374e-08,0.32621766285127385
15,4.281332398719396e-09,0.31059269775242904
16,1e-09,0.39480068795509105
10,8.858667904100832e-09,0.3035654262298888
6,4.281332398719396e-09,0.31654483437087544
8,1e-09,0.3148640770152011
4,1.8329807108324374e-08,0.32178554748253313
11,2.06913808111479e-09,0.2995159885505504
15,1.8329807108324374e-08,0.306673665662654
7,4.281332398719396e-09,0.31546347380610595
5,1.8329807108324374e-08,0.3184892298646858
11,8.858667904100832e-09,0.2995141593301492
9,1e-09,0.3099480856083782
16,4.281332398719396e-09,1.0320942168619411
17,1e-09,0.34693325437042694
12,2.06913808111479e-09,0.2985908911671928
6,1.8329807108324374e-08,0.31654483708827835
8,4.281332398719396e-09,0.3148661437036074
10,1e-09,0.3035659102724874
12,8.858667904100832e-09,0.29865399849634133
16,1.8329807108324374e-08,5.8859892288879125
7,1.8329807108324374e-08,0.31546347655663853
13,2.06913808111479e-09,0.3318187691258921
17,4.281332398719396e-09,0.34088935025919254
9,4.281332398719396e-09,0.3099453001349205
18,1e-09,0.31585971026706605
11,1e-09,0.299516969442118
13,8.858667904100832e-09,0.350371496522713
8,1.8329807108324374e-08,0.3148592499528854
10,4.281332398719396e-09,0.3035651136112448
17,1.8329807108324374e-08,0.34100883458772696
14,2.06913808111479e-09,0.3026788666648324
18,4.281332398719396e-09,0.4567843437029019
9,1.8329807108324374e-08,0.3099477286309688
12,1e-09,0.2985623067707042
19,1e-09,7.041414937270534
14,8.858667904100832e-09,0.30575765250795384
0,2.06913808111479e-09,0.4504932835519999
11,4.281332398719396e-09,0.29951332647916873
4,3.792690190732254e-08,0.3217855478567707
1,2.06913808111479e-09,0.35251415349609855
15,2.06913808111479e-09,0.3308928003727179
10,1.8329807108324374e-08,0.3035662236431471
18,1.8329807108324374e-08,0.30973070952497167
2,2.06913808111479e-09,0.3342680151991226
5,3.792690190732254e-08,0.3184892302454522
19,4.281332398719396e-09,0.49631268915453386
15,8.858667904100832e-09,0.30416438735948087
0,8.858667904100832e-09,0.45049328355199997
3,2.06913808111479e-09,0.3262176574351731
17,3.792690190732254e-08,0.4167857826236838
10,7.847599703514607e-08,0.30356552794271263
6,3.792690190732254e-08,0.3165448375175953
1,8.858667904100832e-09,0.3525141601742287
16,2.06913808111479e-09,0.6574015346134424
4,2.06913808111479e-09,0.3217855418153054
2,8.858667904100832e-09,0.33426802238100345
19,1.8329807108324374e-08,0.5292336710812003
7,3.792690190732254e-08,0.31546347706014427
0,3.792690190732254e-08,0.45049328355200036
16,8.858667904100832e-09,1.7200996113978546
3,8.858667904100832e-09,0.32621766211187764
5,2.06913808111479e-09,0.3184892241044671
11,7.847599703514607e-08,0.29951276901734025
1,3.792690190732254e-08,0.3525141617407389
18,3.792690190732254e-08,0.3947494402205602
4,8.858667904100832e-09,0.3217855467088517
3,1.623776739188721e-07,0.32621766346597114
8,3.792690190732254e-08,0.31485223344759117
17,2.06913808111479e-09,0.34499799750490345
2,3.792690190732254e-08,0.33426802406568684
12,7.847599703514607e-08,0.29860738280779386
3,3.792690190732254e-08,0.32621766320893003
4,1.623776739188721e-07,0.3217855481256882
17,8.858667904100832e-09,0.37246663475656255
9,3.792690190732254e-08,0.3099493334353918
2,6.951927961775605e-07,0.3342680245572722
5,1.623776739188721e-07,0.3184892305282699
19,3.792690190732254e-08,0.45190153762164553
16,1.623776739188721e-07,5.596495543476925
18,2.06913808111479e-09,0.3495539714145316
9,3.359818286283781e-07,0.30996975148713407
0,7.847599703514607e-08,0.4504932835520012
13,7.847599703514607e-08,0.3434536254597538
3,6.951927961775605e-07,0.3262176635359938
10,3.792690190732254e-08,0.303565945802413
6,1.623776739188721e-07,0.31654483783932014
1,7.847599703514607e-08,0.35251416198767327
4,6.951927961775605e-07,0.3217855481981825
2,7.847599703514607e-08,0.3342680243312736
10,3.359818286283781e-07,0.30356781887975126
7,1.623776739188721e-07,0.3154634774364305
17,1.623776739188721e-07,8.375921524684875
15,6.951927961775605e-07,0.3208557643414994
14,7.847599703514607e-08,0.3053368940194359
11,3.792690190732254e-08,0.29951473059019135
5,6.951927961775605e-07,0.3184892307755253
3,7.847599703514607e-08,0.326217663381943
11,3.359818286283781e-07,0.2995135130984715
4,7.847599703514607e-08,0.32178554803779763
8,1.623776739188721e-07,0.3148547914395539
6,6.951927961775605e-07,0.3165448381729349
12,3.792690190732254e-08,0.298819163859484
16,6.951927961775605e-07,3.8994720630407493
15,7.847599703514607e-08,0.5597846664458076
5,7.847599703514607e-08,0.31848923043125216
18,1.623776739188721e-07,0.3120596969280414
9,1.623776739188721e-07,0.30994828356171866
7,6.951927961775605e-07,0.31546347903886784
12,3.359818286283781e-07,0.29863403438301
6,7.847599703514607e-08,0.3165448377275523
13,3.792690190732254e-08,0.34098738329598366
8,6.951927961775605e-07,0.3149613056424713
10,1.623776739188721e-07,0.30356472199086637
16,7.847599703514607e-08,1975.6487609516616
17,6.951927961775605e-07,7.134604539872163
7,7.847599703514607e-08,0.3154634773775341
19,1.623776739188721e-07,0.3617399309968292
13,3.359818286283781e-07,0.34299132230680596
0,3.359818286283781e-07,0.4504932835520224
9,6.951927961775605e-07,0.3099719422293736
1,3.359818286283781e-07,0.35251416216534576
14,3.792690190732254e-08,0.30658353116591797
11,1.623776739188721e-07,0.29951438363993377
8,7.847599703514607e-08,0.31483212369117897
2,3.359818286283781e-07,0.33426802452292304
17,7.847599703514607e-08,9.217115102857031
18,6.951927961775605e-07,0.31410162507323774
14,3.359818286283781e-07,0.303971019308761
10,6.951927961775605e-07,0.30356845818614725
3,3.359818286283781e-07,0.3262176635082815
9,7.847599703514607e-08,0.30994643790746323
12,1.623776739188721e-07,0.29869411830876114
15,3.792690190732254e-08,0.3312126958014371
4,3.359818286283781e-07,0.3217855481698139
11,6.951927961775605e-07,0.2995148440361812
15,3.359818286283781e-07,0.3234953529015345
18,7.847599703514607e-08,0.3219001880824935
8,1.438449888287663e-06,0.31498738420661115
19,6.951927961775605e-07,1.4427010097799384
5,3.359818286283781e-07,0.318489230606016
13,1.623776739188721e-07,0.34038764201071836
0,1.438449888287663e-06,0.4504932835524098
16,3.792690190732254e-08,787.7668027912194
1,1.438449888287663e-06,0.35251416221834536
9,1.438449888287663e-06,0.3099869660301445
12,6.951927961775605e-07,0.2986614143782175
6,3.359818286283781e-07,0.31654483793730864
1,2.976351441631313e-06,0.3525141622652674
16,3.359818286283781e-07,2.649104232455123
2,1.438449888287663e-06,0.33426802459045146
19,7.847599703514607e-08,0.43449123707743187
2,2.976351441631313e-06,0.33426802467745015
14,1.623776739188721e-07,0.305113950669661
7,3.359818286283781e-07,0.3154634773955008
3,1.438449888287663e-06,0.32621766358047716
0,1.623776739188721e-07,0.4504932835520052
10,1.438449888287663e-06,0.30357001539994666
3,2.976351441631313e-06,0.3262176637350358
13,6.951927961775605e-07,0.3428844326259762
1,1.623776739188721e-07,0.35251416210714426
4,1.438449888287663e-06,0.32178554824203487
8,3.359818286283781e-07,0.31484128833002534
2,1.623776739188721e-07,0.3342680244598654
4,2.976351441631313e-06,0.32178554839220014
17,3.359818286283781e-07,118.10688762456356
15,1.623776739188721e-07,0.3391287546183191
11,1.438449888287663e-06,0.2995159279459823
5,1.438449888287663e-06,0.3184892314209685
0,1.274274985703132e-05,0.4504932835841536
14,6.951927961775605e-07,0.3032252645635834
5,2.976351441631313e-06,0.31848923413362895
7,6.158482110660255e-06,0.31546350079333424
1,1.274274985703132e-05,0.35251416318333473
6,1.438449888287663e-06,0.31654483909030756
14,2.976351441631313e-06,0.305304972969719
12,1.438449888287663e-06,0.298609193509731
6,2.976351441631313e-06,0.3165448429522394
2,1.274274985703132e-05,0.33426802648959164
18,3.359818286283781e-07,0.3134306100335047
8,6.158482110660255e-06,0.31480971178062644
13,1.274274985703132e-05,0.3445951391275035
7,1.438449888287663e-06,0.3154634801440583
3,1.274274985703132e-05,0.32621766712372413
7,2.976351441631313e-06,0.31546348398590407
4,1.274274985703132e-05,0.32178555167329703
13,1.438449888287663e-06,0.34334257396298007
15,2.976351441631313e-06,0.3187771854885106
9,6.158482110660255e-06,0.30999860436672033
6,2.6366508987303556e-05,0.3165452043979067
19,3.359818286283781e-07,0.9467015220917465
8,2.976351441631313e-06,0.3148632906567574
14,1.274274985703132e-05,0.300781258014636
5,1.274274985703132e-05,0.3184892938257692
0,6.951927961775605e-07,0.4504932835520958
7,2.6366508987303556e-05,0.31546377036125495
10,6.158482110660255e-06,0.30357743227910067
1,6.951927961775605e-07,0.3525141621954314
14,1.438449888287663e-06,0.3029896188607668
6,1.274274985703132e-05,0.3165449273446942
16,2.976351441631313e-06,34.112158546082306
9,2.976351441631313e-06,0.3099804741154871
8,2.6366508987303556e-05,0.31504298520624857
15,1.274274985703132e-05,0.32465861313184013
11,6.158482110660255e-06,0.29951960303109343
7,1.274274985703132e-05,0.31546355944981314
10,2.976351441631313e-06,0.3035737980213625
15,1.438449888287663e-06,0.32110776290832693
19,2.6366508987303556e-05,0.8984477848545745
9,2.6366508987303556e-05,0.3099850797068124
17,2.976351441631313e-06,2.155547553137763
0,5.4555947811685143e-05,0.45049328414126893
8,1.274274985703132e-05,0.31513261814892
16,1.274274985703132e-05,94.06643791589698
12,6.158482110660255e-06,0.29868006783902973
1,5.4555947811685143e-05,0.3525141799017847
11,2.976351441631313e-06,0.2995180290824576
10,2.6366508987303556e-05,0.30358718874519336
16,1.438449888287663e-06,11.971937348481088
2,5.4555947811685143e-05,0.3342680594807265
9,1.274274985703132e-05,0.30998023023928806
18,2.976351441631313e-06,0.8415769333009672
13,6.158482110660255e-06,0.34536699399978926
3,5.4555947811685143e-05,0.3262177286803649
12,2.976351441631313e-06,0.2986164410727394
17,1.274274985703132e-05,0.32012981208973196
11,2.6366508987303556e-05,0.2995317119567492
10,1.274274985703132e-05,0.3035831058218361
4,5.4555947811685143e-05,0.32178561097275915
17,1.438449888287663e-06,0.605197133073591
14,6.158482110660255e-06,0.3019271521966567
5,5.4555947811685143e-05,0.31849027530110435
13,2.976351441631313e-06,0.3427404005807524
19,2.976351441631313e-06,0.8166476704451899
12,2.6366508987303556e-05,0.29865757466415843
11,1.274274985703132e-05,0.29952483634599797
18,1.274274985703132e-05,2.072442559422284
0,6.158482110660255e-06,0.4504932835595106
6,5.4555947811685143e-05,0.3165462781666244
1,6.158482110660255e-06,0.3525141624414001
18,1.438449888287663e-06,0.38708749021034466
12,5.4555947811685143e-05,0.298611865908689
15,6.158482110660255e-06,0.33712946097072366
2,6.158482110660255e-06,0.3342680250232033
13,2.6366508987303556e-05,0.35068891238541333
12,1.274274985703132e-05,0.29865822777789436
7,5.4555947811685143e-05,0.3154644221718254
3,6.158482110660255e-06,0.3262176643789915
19,1.274274985703132e-05,0.6371396759828364
5,0.00011288378916846884,0.3184931398243891
0,2.6366508987303556e-05,0.4504932836896524
13,5.4555947811685143e-05,0.5674215926325322
8,5.4555947811685143e-05,0.3149293025047789
4,6.158482110660255e-06,0.32178554901628603
14,2.6366508987303556e-05,0.30112379348466795
16,6.158482110660255e-06,369.51546874706565
1,2.6366508987303556e-05,0.352514166352311
19,1.438449888287663e-06,0.6469727974916953
6,0.00011288378916846884,0.31655008923918226
0,2.976351441631313e-06,0.4504932835537542
5,6.158482110660255e-06,0.3184892456187839
2,2.6366508987303556e-05,0.3342680327522753
9,5.4555947811685143e-05,0.309958003774984
14,5.4555947811685143e-05,0.30219258790208237
3,2.6366508987303556e-05,0.32621767883653624
7,0.00011288378916846884,0.3154663470022741
6,6.158482110660255e-06,0.3165448592626885
15,2.6366508987303556e-05,0.3261486621237023
17,6.158482110660255e-06,12.333499086254609
4,2.6366508987303556e-05,0.3217855629906409
10,5.4555947811685143e-05,0.3035872074381407
18,0.00011288378916846884,0.31532302761839154
8,0.00011288378916846884,0.3154249746038366
15,5.4555947811685143e-05,0.3193141353226114
5,2.6366508987303556e-05,0.31848949210676714
11,0.00023357214690901214,0.29955149689095534
16,2.6366508987303556e-05,1.1830615000606588
11,5.4555947811685143e-05,0.2995382104674761
9,0.00011288378916846884,0.3100061066468431
18,6.158482110660255e-06,0.44631571234780854
4,0.0004832930238571752,0.32178994152269264
19,0.00011288378916846884,0.4992376385051227
12,0.00023357214690901214,0.2986963390427079
16,5.4555947811685143e-05,1.778133904067103
5,0.0004832930238571752,0.3185262485036244
0,0.00023357214690901214,0.4504932943454569
10,0.00011288378916846884,0.3035944387677554
17,2.6366508987303556e-05,0.337552927489547
1,0.00023357214690901214,0.3525144843735138
17,0.0004832930238571752,0.3861492195477348
6,0.0004832930238571752,0.31659101051007116
19,6.158482110660255e-06,1.2254662616630478
2,0.00023357214690901214,0.33426865384823473
13,0.00023357214690901214,0.3456364190270158
11,0.00011288378916846884,0.29954964729076483
17,5.4555947811685143e-05,2.410032626900294
3,0.00023357214690901214,0.3262188196258141
7,0.0004832930238571752,0.3154855255835245
10,0.001,0.3036294022559764
18,2.6366508987303556e-05,0.4890580932793691
18,0.0004832930238571752,0.3072344963985851
4,0.00023357214690901214,0.32178664192566486
14,0.00023357214690901214,0.303495527511824
12,0.00011288378916846884,0.29868473909013965
8,0.0004832930238571752,0.3146057709164283
5,0.00023357214690901214,0.3185022990199979
11,0.001,0.29957674312281735
18,5.4555947811685143e-05,0.32081145400677585
9,0.0004832930238571752,0.31059212125579105
6,0.00023357214690901214,0.31656178829398357
15,0.00023357214690901214,0.316330866661921
19,0.0004832930238571752,0.6879086213846269
13,0.00011288378916846884,0.37760137907904695
0,0.001,0.45049348078912815
12,0.001,0.2986533169237303
7,0.00023357214690901214,0.3154716126058712
1,0.001,0.3525199159326814
10,0.0004832930238571752,0.3036084127117547
19,5.4555947811685143e-05,0.444571359788774
2,0.001,0.3342787995172093
0,0.00011288378916846884,0.45049328607426786
16,0.00023357214690901214,1.5882797848505916
14,0.00011288378916846884,0.303555982219383
8,0.00023357214690901214,0.3190724227221904
13,0.001,0.35939258115635464
1,0.00011288378916846884,0.35251423777615565
3,0.001,0.32623636209594165
11,0.0004832930238571752,0.2995554898551248
2,0.00011288378916846884,0.33426817319925445
4,0.001,0.32180233970120464
9,0.00023357214690901214,0.3108465780741815
15,0.00011288378916846884,0.3110706545629649
3,0.00011288378916846884,0.326217939464117
17,0.00023357214690901214,0.381028003127245
14,0.001,0.30244862475474943
12,0.0004832930238571752,0.29856014136778014
5,0.001,0.3185762442865885
4,0.00011288378916846884,0.3217858123991733
10,0.00023357214690901214,0.30359950033466215
6,0.001,0.31664948837678614
16,0.00011288378916846884,1.0441509924439865
13,0.0004832930238571752,0.345713631953192
15,0.001,0.30875486782218226
18,0.00023357214690901214,0.41974176963343945
7,0.001,0.3155222324015794
14,0.0004832930238571752,0.3036929990695121
17,0.00011288378916846884,0.3362889737136399
8,0.001,0.3148379468605095
16,0.001,0.8509310584238096
19,0.00023357214690901214,0.48195823178550723
0,0.0004832930238571752,0.45049332971627365
9,0.001,0.30986407148528694
1,0.0004832930238571752,0.3525155297881856
15,0.0004832930238571752,0.31736886488502497
2,0.0004832930238571752,0.334270658403051
17,0.001,0.3401242924648846
3,0.0004832930238571752,0.3262224052295915
16,0.0004832930238571752,0.33729382077121356
18,0.001,0.3225021717527132
19,0.001,0.40744824207688385
17,2.06913808111479e-09,0.33772624433590337
